Hospital_ID,District_ID,Hospital_employees
Hospital 1,District 12,3
Hospital 1,District 13,6
Hospital 1,District 15,2
Hospital 1,District 16,3
Hospital 1,District 19,5
Hospital 1,District 19,5
Hospital 1,District 20,112
Hospital 1,District 23,1
Hospital 1,District 28,34
Hospital 1,District 30,5
Hospital 1,District 31,2
Hospital 1,District 32,14
Hospital 1,District 35,9
Hospital 1,District 37,3
Hospital 1,District 4,1
Hospital 1,District 40,6
Hospital 1,District 40,6
Hospital 1,District 41,83
Hospital 1,District 44,3
Hospital 1,District 48,5
Hospital 1,District 5,18
Hospital 1,District 53,12758
Hospital 1,District 6,4
Hospital 10,District 18,19
Hospital 10,District 18,355
Hospital 10,District 18,452
Hospital 10,District 18,250
Hospital 100,District 12,3
Hospital 100,District 25,11
Hospital 100,District 29,6
Hospital 100,District 32,4
Hospital 100,District 46,11
Hospital 100,District 53,4176
Hospital 100,District 6,714
Hospital 1000,District 13,143
Hospital 1000,District 16,820
Hospital 1000,District 18,209
Hospital 1000,District 20,8
Hospital 1000,District 23,62
Hospital 1000,District 25,17
Hospital 1000,District 28,31
Hospital 1000,District 35,5
Hospital 1000,District 37,121
Hospital 1000,District 40,11
Hospital 1000,District 44,12
Hospital 1000,District 45,30
Hospital 1000,District 53,4269
Hospital 1000,District 6,18
Hospital 1001,District 12,97
Hospital 1001,District 13,1288
Hospital 1001,District 20,6
Hospital 1001,District 25,13
Hospital 1001,District 28,126
Hospital 1001,District 3,2060
Hospital 1001,District 30,28
Hospital 1001,District 35,54
Hospital 1001,District 38,93
Hospital 1001,District 41,42
Hospital 1001,District 44,9
Hospital 1001,District 48,107
Hospital 1001,District 49,76
Hospital 1001,District 8,3
Hospital 1002,District 39,238
Hospital 1003,District 10,857
Hospital 1003,District 10,857
Hospital 1003,District 12,154
Hospital 1003,District 13,196
Hospital 1003,District 14,40
Hospital 1003,District 15,9
Hospital 1003,District 16,616
Hospital 1003,District 17,24
Hospital 1003,District 18,4477
Hospital 1003,District 19,11
Hospital 1003,District 19,11
Hospital 1003,District 2,57
Hospital 1003,District 20,127
Hospital 1003,District 21,18
Hospital 1003,District 25,74
Hospital 1003,District 27,13
Hospital 1003,District 28,1654
Hospital 1003,District 29,6
Hospital 1003,District 3,16
Hospital 1003,District 30,879
Hospital 1003,District 31,21
Hospital 1003,District 32,70
Hospital 1003,District 33,190
Hospital 1003,District 34,36
Hospital 1003,District 35,92
Hospital 1003,District 37,163
Hospital 1003,District 38,8
Hospital 1003,District 39,28
Hospital 1003,District 4,110
Hospital 1003,District 40,103
Hospital 1003,District 40,103
Hospital 1003,District 41,1400
Hospital 1003,District 43,66
Hospital 1003,District 44,4900
Hospital 1003,District 45,36
Hospital 1003,District 45,36
Hospital 1003,District 46,40
Hospital 1003,District 48,67
Hospital 1003,District 49,27
Hospital 1003,District 5,9
Hospital 1003,District 53,2184
Hospital 1003,District 6,123
Hospital 1003,District 7,5
Hospital 1003,District 8,84
Hospital 1003,District 9,1578
Hospital 1004,District 12,2
Hospital 1004,District 13,5
Hospital 1004,District 17,1789
Hospital 1004,District 20,288
Hospital 1004,District 23,2
Hospital 1004,District 26,5
Hospital 1004,District 28,3
Hospital 1004,District 3,27
Hospital 1004,District 35,69
Hospital 1004,District 36,120
Hospital 1004,District 38,47
Hospital 1004,District 44,3
Hospital 1004,District 49,65
Hospital 1004,District 7,131
Hospital 1004,District 8,341
Hospital 1005,District 17,208
