Hospital_ID,Region_ID,District_ID,Instrument_ID,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Year Total
Hospital 1,Region 1,District 12,Instrument 2,8534,9917,7825,11702,8776,7755,9289,7796,7595,8292,7787,8282,103550
Hospital 1,Region 1,District 12,Instrument 3,298,298,214,311,261,223,237,171,173,183,193,0,2562
Hospital 1,Region 1,District 13,Instrument 1,37,40,38,43,29,0,0,0,0,0,0,0,187
Hospital 1,Region 1,District 13,Instrument 2,2486,3332,3193,2556,2108,2757,2639,2531,2771,2682,12317,1369,40741
Hospital 1,Region 1,District 13,Instrument 3,857,892,739,759,736,415,1203,434,448,113,829,1124,8549
Hospital 1,Region 1,District 13,Instrument 4,252,292,270,287,320,0,0,0,0,0,0,0,1421
Hospital 1,Region 1,District 13,Instrument 5,416,438,426,417,383,445,382,395,375,389,376,378,4820
Hospital 1,Region 1,District 16,Instrument 2,805,1027,1042,1195,798,798,557,678,987,883,784,784,10338
Hospital 1,Region 1,District 18,Instrument 1,1344,1450,1519,1339,1419,1289,1328,1294,1269,1197,896,993,15337
Hospital 1,Region 1,District 18,Instrument 2,18486,20620,21279,18119,19329,19943,19393,12197,16507,14532,14745,17557,212707
Hospital 1,Region 1,District 18,Instrument 3,-11,-12,-34,-34,-22,-20,-33,6598,2017,4019,3749,1822,18039
Hospital 1,Region 1,District 18,Instrument 4,1153,1255,944,871,874,696,631,0,0,0,0,0,6424
Hospital 1,Region 1,District 18,Instrument 5,52,58,64,128,51,49,45,45,45,45,45,45,672
Hospital 1,Region 1,District 18,Instrument 6,0,0,0,0,0,0,0,234,-68,-926,1148,-75,313
Hospital 1,Region 1,District 19,Instrument 1,53,50,54,47,52,190,215,220,212,182,214,199,1688
Hospital 1,Region 1,District 19,Instrument 2,1240,1210,1135,1118,-1205,1378,1328,1384,1335,1312,876,1342,12453
Hospital 1,Region 1,District 19,Instrument 7,383,443,631,502,584,0,0,0,0,0,0,0,2543
Hospital 1,Region 1,District 2,Instrument 1,0,0,0,0,0,4,5,11,112,14,25,17,188
