Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue
Hospital 1,District 13,Instrument 2,17164
Hospital 1,District 13,Instrument 3,655645
Hospital 1,District 13,Instrument 4,281452
Hospital 1,District 2,Instrument 2,12199
Hospital 1,District 20,Instrument 2,178128
Hospital 1,District 20,Instrument 3,305796
Hospital 1,District 20,Instrument 7,5215
Hospital 1,District 20,Instrument 8,280140
Hospital 1,District 41,Instrument 2,4320
Hospital 1,District 41,Instrument 3,792
Hospital 1,District 50,Instrument 2,61301
Hospital 1,District 50,Instrument 3,137862
Hospital 1000,District 50,Instrument 2,9715
Hospital 1000,District 50,Instrument 3,2496
Hospital 1001,District 13,Instrument 2,996
Hospital 1001,District 13,Instrument 5,8496
Hospital 1001,District 20,Instrument 3,1103
Hospital 1001,District 41,Instrument 2,3456
Hospital 1001,District 41,Instrument 3,210
Hospital 1003,District 10,Instrument 2,42654
Hospital 1003,District 18,Instrument 2,9965
Hospital 1003,District 18,Instrument 3,3151
Hospital 1003,District 20,Instrument 2,1295
Hospital 1003,District 20,Instrument 3,240
Hospital 1003,District 28,Instrument 2,146016
Hospital 1003,District 28,Instrument 3,33726
Hospital 1003,District 28,Instrument 4,93912
Hospital 1003,District 34,Instrument 2,2532
Hospital 1003,District 34,Instrument 3,1782
Hospital 1003,District 34,Instrument 4,300
Hospital 1003,District 34,Instrument 7,840
Hospital 1003,District 39,Instrument 2,426
Hospital 1003,District 50,Instrument 2,62821
Hospital 1003,District 50,Instrument 3,112170
Hospital 1003,District 50,Instrument 5,183814
Hospital 1004,District 17,Instrument 2,218872
Hospital 1004,District 20,Instrument 3,552
Hospital 1004,District 34,Instrument 2,1848
Hospital 1004,District 34,Instrument 3,1806
Hospital 1006,District 10,Instrument 7,30337
Hospital 1006,District 12,Instrument 2,229343
Hospital 1006,District 13,Instrument 2,609207
Hospital 1006,District 13,Instrument 3,97092
Hospital 1006,District 15,Instrument 2,56064
Hospital 1006,District 15,Instrument 5,4500
Hospital 1006,District 19,Instrument 2,66360
Hospital 1006,District 20,Instrument 2,102430
Hospital 1006,District 28,Instrument 2,24824
Hospital 1006,District 28,Instrument 3,9030
Hospital 1006,District 3,Instrument 2,110746
Hospital 1006,District 32,Instrument 2,71393
Hospital 1006,District 32,Instrument 3,102
Hospital 1006,District 34,Instrument 2,4800
Hospital 1006,District 34,Instrument 3,8772
Hospital 1006,District 41,Instrument 2,3540
Hospital 1006,District 41,Instrument 3,2834
Hospital 1006,District 50,Instrument 2,254549
Hospital 1007,District 20,Instrument 2,2009
Hospital 1007,District 20,Instrument 3,2878
Hospital 1007,District 20,Instrument 7,234
Hospital 1007,District 34,Instrument 2,300
Hospital 1007,District 34,Instrument 3,180
Hospital 1007,District 39,Instrument 2,16039
Hospital 1007,District 8,Instrument 2,139560
Hospital 1008,District 13,Instrument 2,7344
Hospital 1008,District 13,Instrument 3,7452
Hospital 1008,District 20,Instrument 2,23491
Hospital 1008,District 20,Instrument 3,36995
Hospital 1008,District 28,Instrument 2,304776
Hospital 1008,District 28,Instrument 3,4608
Hospital 1008,District 34,Instrument 2,80658
Hospital 1008,District 34,Instrument 3,7716
Hospital 1009,District 28,Instrument 5,34955
Hospital 101,District 13,Instrument 2,554992
Hospital 101,District 13,Instrument 3,75180
Hospital 101,District 13,Instrument 4,52500
Hospital 101,District 13,Instrument 5,285078
Hospital 101,District 20,Instrument 2,18630
Hospital 101,District 20,Instrument 3,12450
Hospital 101,District 34,Instrument 2,14280
Hospital 101,District 34,Instrument 3,10200
Hospital 101,District 34,Instrument 5,4200
Hospital 101,District 34,Instrument 7,8700
Hospital 1010,District 17,Instrument 2,16577
Hospital 1010,District 18,Instrument 2,53145
Hospital 1010,District 20,Instrument 2,3616
Hospital 1010,District 20,Instrument 3,1404
Hospital 1010,District 44,Instrument 3,168
Hospital 1011,District 32,Instrument 2,6600
Hospital 1011,District 32,Instrument 3,175
Hospital 1011,District 41,Instrument 2,4998
Hospital 1011,District 41,Instrument 3,1296
Hospital 1013,District 13,Instrument 2,270
Hospital 1013,District 13,Instrument 3,12047
Hospital 1013,District 13,Instrument 4,520
Hospital 1014,District 12,Instrument 2,119652
Hospital 1014,District 12,Instrument 3,119652
Hospital 1014,District 13,Instrument 2,134715
Hospital 1014,District 13,Instrument 3,119865
Hospital 1014,District 13,Instrument 4,23094
Hospital 1014,District 15,Instrument 2,31212
Hospital 1014,District 15,Instrument 3,17908
Hospital 1014,District 15,Instrument 5,4800
Hospital 1014,District 17,Instrument 2,20992
Hospital 1014,District 17,Instrument 3,14424
Hospital 1014,District 19,Instrument 2,25935
Hospital 1014,District 20,Instrument 2,81888
Hospital 1014,District 20,Instrument 3,119544
Hospital 1014,District 28,Instrument 2,186264
Hospital 1014,District 28,Instrument 3,96810
Hospital 1014,District 28,Instrument 4,29016
Hospital 1014,District 3,Instrument 2,21562
Hospital 1014,District 32,Instrument 2,27000
Hospital 1014,District 32,Instrument 3,18000
Hospital 1014,District 34,Instrument 2,11670
Hospital 1014,District 34,Instrument 3,24474
Hospital 1014,District 34,Instrument 4,1224
Hospital 1014,District 39,Instrument 2,29712
Hospital 1014,District 4,Instrument 2,136927
Hospital 1014,District 41,Instrument 2,90891
Hospital 1014,District 41,Instrument 3,86193
